svfn,ar,staerd,leiguverd,kaupverd,fasteignamat
1400,2012,50-59,94094,14300000,12000
1400,2012,60-69,110000,15450000,13050
1400,2012,70-79,125000,18700000,15650
1400,2012,80-89,130000,19600000,17000
1400,2012,90-99,140000,22350000,18750
1400,2012,100-109,145000,23000000,19600
1400,2012,110-150,150000,26800000,22350
1400,2013,50-59,97190,15250000,12950
1400,2013,60-69,117200,16175000,15325
1400,2013,70-79,131580,20000000,17500
1400,2013,80-89,140000,20734500,18650
1400,2013,90-99,145000,22850000,20150
1400,2013,100-109,160000,24250000,22175
1400,2013,110-150,167280,27450000,24575
1400,2014,50-59,99953.5,17000000,13300
1400,2014,60-69,128250,20900000,14900
1400,2014,70-79,150000,21325000,17500
1400,2014,80-89,150000,23000000,19200
1400,2014,90-99,154000,26025000,19725
1400,2014,100-109,170000,27500000,21250
1400,2014,110-150,170000,31000000,25100
1400,2015,50-59,101609,18500000,13950
1400,2015,60-69,140000,21500000,16150
1400,2015,70-79,153000,24000000,20150
1400,2015,80-89,159883,25500000,20275
1400,2015,90-99,170000,27665000,21975
1400,2015,100-109,175000,29575000,24200
1400,2015,110-150,182175,34510000,26850
1400,2016,50-59,107299,22000000,16100
1400,2016,60-69,140000,25500000,17775
1400,2016,70-79,160500,28350000,20625
1400,2016,80-89,165000,28400000,21850
1400,2016,90-99,172894,32000000,23950
1400,2016,100-109,187000,32000000,26600
1400,2016,110-150,200000,38000000,29100
1400,2017,50-59,157500,28500000,18450
1400,2017,60-69,159000,30700000,20775
1400,2017,70-79,189000,32500000,23100
1400,2017,80-89,186000,36000000,25500
1400,2017,90-99,200000,37800000,27375
1400,2017,100-109,205210,40000000,30450
1400,2017,110-150,220000,44000000,33750
1400,2018,50-59,170000,28100000,21750
1400,2018,60-69,180000,32000000,24150
1400,2018,70-79,200000,36500000,29050
1400,2018,80-89,203500,37500000,29900
1400,2018,90-99,215000,38700000,31925
1400,2018,100-109,230000,41950000,35100
1400,2018,110-150,235000,45950000,38900
1400,2019,50-59,167500,29600000,24250
1400,2019,60-69,191250,33500000,28300
1400,2019,70-79,200000,36000000,31350
1400,2019,80-89,220000,38000000,32950
1400,2019,90-99,225000,39250000,35000
1400,2019,100-109,240000,41000000,38200
1400,2019,110-150,245000,47500000,42700
1400,2020,50-59,175000,32500000,26950
1400,2020,60-69,190000,36000000,30200
1400,2020,70-79,210000,38200000,34700
1400,2020,80-89,220000,42000000,36800
1400,2020,90-99,220000,43050000,37925
1400,2020,100-109,235000,45000000,42900
1400,2020,110-150,250000,49450000,45800
1400,2021,50-59,180000,35900000,28600
